candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
John D. Luthy,County Attorney,2022,2022,Pre-General,c_and_e_report,,,0,0,,,,,,,,0,0,raw/2022/2022_wb_John_D_Luthy_22G.pdf,cache_county|e9f5e76c0bfe|raw/2022/2022_wb_John_D_Luthy_22G.pdf,medium,"⚠ EVERY summary box is a WORDED entry, not a bare number: B and C read '$219.83 In-Kind', D and E read '0 cash expenditure, $219.83 in use of in-kind contributions', F reads '$219.83 In-Kind'; A and the Balance-at-Close box hold a hand-drawn slashed-O. The verbatim strings are preserved here; the builder's money() parser will read the leading '$219.83' out of B/C/F and the leading '0' out of D/E and will NOT attempt to net the in-kind commentary. Candidate address redacted on the published PDF by the county.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Chris Booth Ladd Kennington,County Council,2022,2022,Pre-Primary,c_and_e_report,1830.00,1850.99,,0,,,,,,,,0,0,raw/2022/2022_wb_2022_Primary_Financial_Disclosures.pdf,cache_county|61c49e90a519|raw/2022/2022_wb_2022_Primary_Financial_Disclosures.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; TWO-CANDIDATE DOCUMENT. This 9-page PDF is a COMBINED filing packet covering TWO separate candidates, each with their own complete Cache County 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' instrument. It does NOT fit the one-row-one-filer model of this cache schema. Pages 1-5 are CHRIS BOOTH's report (cover p1, Schedule A p2, Schedule B p3, Schedule B continued p4, Summary p5). Pages 6-9 are LADD KENNINGTON's report (cover p6, Schedule A p7, Schedule B p8, Summary p9). The `cover` and `stated` blocks above carry the FIRST candidate's (Chris Booth's) figures, per instruction; `cover.candidate_stated` carries the combined verbatim name. Both candidates' stated totals are recorded verbatim below.

=== CANDIDATE 1 - CHRIS BOOTH (pages 1-5) ===
Cover (p1): Name of Candidate 'Chris Booth'. Address '1112 E 1900 N', City 'N. Logan', State 'UT', Zip '84341'. Office 'COUNTY COUNCIL NORTHEAST'. Phone '435-554-4940'. Email 'cboothgop@gmail.com'. Type of Report: TWO bullets appear filled - '30 Days after withdrawal or elimination' AND '30 Days after the Primary Election' (the first is an ink blot/scribble over the bullet, the second is a solidly filled bullet; both read as marked - flagged medium confidence because the intent of the double marking is not stated on the page). Is this report an amendment? 'No' bullet is filled. Affirmation printed name 'Chris Booth'. Signature present. Date '7/26/22'. Date of Report '7/26/22'. Page '1'. Office Use Only: no bullet filled, no received stamp.
Schedule A (p2): 7 itemized rows. Subtotal for this page '$ $1830.00' (a '$' is written after the preprinted '$'). Total Contributions Received '$ 1830.00'.
Schedule B (p3): 16 itemized rows. Subtotal for this page '$ 1472.48'. 'Total Expenditures Made $' line is BLANK on this page.
Schedule B continued (p4): 4 itemized rows. Subtotal for this page '$ 378.51'. Total Expenditures Made '$ 1850.99'. Page number written as '4' with an overwritten/struck leading character (looks like a '0' or ink slip preceding the 4).
Summary (p5): Box A (Balance at Beginning of Reporting Period) is BLANK - no figure written, recorded as empty. Box B '$1830.00' (a small '$'-like mark precedes it). Box C '$1830.00'. Box D '$1850.99'. Box E '$1850.99'. Box F '$1830.00'. Balance at Close of Reporting Period: '$ 0' - a single hand-drawn open/looped O glyph used as a zero, transcribed '$0' at medium confidence per protocol rule 3. Page '5'.
ARITHMETIC DISAGREEMENT (recorded, not corrected): the filer's Box D/E expenditures ($1850.99) exceed Box F ($1830.00), so Box F - Box D would be negative, yet the filer wrote a closing balance of 0. Recorded verbatim as printed; no reconciliation performed.

=== CANDIDATE 2 - LADD KENNINGTON (pages 6-9) ===
Cover (p6): Name of Candidate 'LADD KENNINGTON'. Address '131 W 100 N', City 'Providence', State 'UT', Zip '84332'. Office 'County Council' (no district written). Phone '435 760 5346'. Email 'laddtkennington@gmail.com'. Type of Report: '30 Days after elimination' bullet filled (note this cover page prints a SHORTER 3-option list than Booth's page-1 variant). Is this report an amendment? NEITHER 'No' nor 'Yes' is marked. Affirmation printed name 'LADD KENNINGTON'. Signature present. Date '7-27-22'. Date of Report '7-27-22'. Page '1'. Office Use Only: no bullet filled, no received stamp.
Schedule A (p7): 1 itemized row (self-contribution). Subtotal for this page '$ 2,000'. Total Contributions Received '$ 2,000'. Page '2'.
Schedule B (p8): 4 itemized rows. Subtotal for this page '$ 2,000'. Total Expenditures Made '$ 2,000'. Page '3'.
Summary (p9): Box A (Balance at Beginning of Reporting Period) contains a figure that has been HEAVILY SCRIBBLED/STRUCK OUT and deliberately obliterated - beneath the scribble the strokes are consistent with '$2,000' but the obliteration makes it not reliably readable, so it is recorded as EMPTY per the no-fabrication rule rather than guessed. Box B '$2,000'. Box C '$2,000'. Box D '$2,000' (written '$2, 000' with the comma dropped low). Box E '$2,000' - the digits after the comma are written as open looped O glyphs, matching the same writer's zeros in boxes B/C/F, so read as 2,000 at medium confidence (a reading of '2,200' cannot be fully excluded from the glyph shape alone). Box F '$2,000'. Balance at Close of Reporting Period: '- 0' (a dash followed by a single open O glyph used as zero) - transcribed '-0' / zero at medium confidence per protocol rule 3. Page '4'.

=== LEDGER CHECK ===
The ledger's candidate value 'Chris Booth Ladd Kennington' is consistent with the page evidence (two candidates, unpunctuated concatenation). The ledger's scope_status='undetermined' is CONTRADICTED by the page evidence: both cover pages name a COUNTY COUNCIL office in the filer's own hand, so scope is county for both filers; scope has been set to 'county' with office_std 'County Council'. No school-board, municipal, or state office appears anywhere in this document."
Kathryn A Beus,County Council,2022,2022,,c_and_e_report,2350.00,2479.01,,0,,,,,,,,0,0,raw/2022/2022_cc_Kathryn_A_Beus_14e5f5.pdf,cache_county|bcd074cc91d8|raw/2022/2022_cc_Kathryn_A_Beus_14e5f5.pdf,high,"only the Year-to-Date column is filled in — This-Period left blank by the filer; ⚠ YEAR-TO-DATE ONLY: boxes A, B, D and F are left entirely EMPTY on this page; only C (2350.00), E (2479.01) and the Balance-at-Close (0.00) carry values. Recorded exactly so — the This-Period boxes are blank, NOT zero. Address, city, zip and email are redacted on the published PDF by the county.; one transcription applied to 3 index rows (identical bytes)"
Kathryn A Beus,County Council,2022,2022,,c_and_e_report,2350.00,2479.01,,0,,,,,,,,0,0,raw/2022/2022_cc_Kathryn_A_Beus_22G.pdf,cache_county|bcd074cc91d8|raw/2022/2022_cc_Kathryn_A_Beus_22G.pdf,high,"only the Year-to-Date column is filled in — This-Period left blank by the filer; ⚠ YEAR-TO-DATE ONLY: boxes A, B, D and F are left entirely EMPTY on this page; only C (2350.00), E (2479.01) and the Balance-at-Close (0.00) carry values. Recorded exactly so — the This-Period boxes are blank, NOT zero. Address, city, zip and email are redacted on the published PDF by the county.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 3 index rows (identical bytes)"
Kathryn A. Beus,County Council,2022,2022,,c_and_e_report,2350.00,2479.01,0,-129.01,,,,,,,,0,0,raw/2022/2022_cc_Kathryn_A_Beus_738747.pdf,cache_county|92b0d4c42b57|raw/2022/2022_cc_Kathryn_A_Beus_738747.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Born-digital typed cache_cfd, 4 pages: p1 cover, p2 Schedule A, p3 Schedule B, p4 Summary Page. All four are now read. 2026-08-02 UPDATE: the Summary page (page 4) HAS NOW BEEN RENDERED AND READ — it was not rendered in the 2026-08-01 batch, and the earlier note recording that absence is superseded by this one. The stated block is therefore no longer 'none': boxes A–F and the closing balance are transcribed above directly from the page image, and Schedule A's printed 'Total Contributions Received $ 2350.00' (page 2) and Schedule B's printed 'Total Expenditures Made $ 2479.01' (page 3) are transcribed from their own printed TOTAL lines — nothing was summed by this module. Box A is written as a bare '0' (typed, not a hand-drawn glyph). The closing balance is printed as a NEGATIVE, '-129.01', with a minus sign rather than accounting parentheses — recorded verbatim; the filer spent more than she raised in the period and the form's own arithmetic (F 2350.00 - D 2479.01) is internally consistent. The figures agree with what the scanner OCR sidecar had produced (A 0 / B 2350.00 / C 2350.00 / D 2479.01 / E 5479.01 / F 2350.00 / close -129.01) EXCEPT box E, where the OCR read '5479.01' and the page image plainly reads '2479.01' — the page image is authoritative and 2479.01 is recorded; this is a concrete instance of why this module does not trust the OCR layer for figures. Cover fields and office_determination are PRESERVED VERBATIM from the 2026-08-01 pass (re-verified against the page-1 image this pass; unchanged).; one transcription applied to 2 index rows (identical bytes)"
Kathryn A. Beus,County Council,2022,2022,,c_and_e_report,2350.00,2479.01,0,-129.01,,,,,,,,0,0,raw/2022/2022_wb_Kathryn_A_Beus.pdf,cache_county|92b0d4c42b57|raw/2022/2022_wb_Kathryn_A_Beus.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Born-digital typed cache_cfd, 4 pages: p1 cover, p2 Schedule A, p3 Schedule B, p4 Summary Page. All four are now read. 2026-08-02 UPDATE: the Summary page (page 4) HAS NOW BEEN RENDERED AND READ — it was not rendered in the 2026-08-01 batch, and the earlier note recording that absence is superseded by this one. The stated block is therefore no longer 'none': boxes A–F and the closing balance are transcribed above directly from the page image, and Schedule A's printed 'Total Contributions Received $ 2350.00' (page 2) and Schedule B's printed 'Total Expenditures Made $ 2479.01' (page 3) are transcribed from their own printed TOTAL lines — nothing was summed by this module. Box A is written as a bare '0' (typed, not a hand-drawn glyph). The closing balance is printed as a NEGATIVE, '-129.01', with a minus sign rather than accounting parentheses — recorded verbatim; the filer spent more than she raised in the period and the form's own arithmetic (F 2350.00 - D 2479.01) is internally consistent. The figures agree with what the scanner OCR sidecar had produced (A 0 / B 2350.00 / C 2350.00 / D 2479.01 / E 5479.01 / F 2350.00 / close -129.01) EXCEPT box E, where the OCR read '5479.01' and the page image plainly reads '2479.01' — the page image is authoritative and 2479.01 is recorded; this is a concrete instance of why this module does not trust the OCR layer for figures. Cover fields and office_determination are PRESERVED VERBATIM from the 2026-08-01 pass (re-verified against the page-1 image this pass; unchanged).; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Kathryn A. Beus,County Council,2022,2022,Pre-General,c_and_e_report,2350.00,2479.01,,0,,,,,,,,0,0,raw/2022/2022_wb_Kathryn_A_Beus_22G.pdf,cache_county|bcd074cc91d8|raw/2022/2022_wb_Kathryn_A_Beus_22G.pdf,high,"only the Year-to-Date column is filled in — This-Period left blank by the filer; ⚠ YEAR-TO-DATE ONLY: boxes A, B, D and F are left entirely EMPTY on this page; only C (2350.00), E (2479.01) and the Balance-at-Close (0.00) carry values. Recorded exactly so — the This-Period boxes are blank, NOT zero. Address, city, zip and email are redacted on the published PDF by the county.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 3 index rows (identical bytes)"
Mark R Hurd,County Council,2022,2022,,c_and_e_report,2861.35,2170.25,0,691.10,,,,,,,,0,0,raw/2022/2022_cc_Mark_R_Hurd_22G.pdf,cache_county|4b13dc9072e7|raw/2022/2022_cc_Mark_R_Hurd_22G.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; This vintage of the form offers FIVE report-type boxes (adding the two primary-election ones). '30 Days after the General Election' is marked. The 'Date of Report' box reads 'Nov. 1, 2022' with the year struck through, while the signature is dated Dec. 8th 2022 — both retained. Figures are identical to this filer's Nov. 1 report.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 3 index rows (identical bytes)"
Mark R Hurd,County Council,2022,2022,,c_and_e_report,2861.35,2170.25,0,691.10,,,,,,,,0,0,raw/2022/2022_cc_Mark_R_Hurd_d27c4a.pdf,cache_county|4b13dc9072e7|raw/2022/2022_cc_Mark_R_Hurd_d27c4a.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; This vintage of the form offers FIVE report-type boxes (adding the two primary-election ones). '30 Days after the General Election' is marked. The 'Date of Report' box reads 'Nov. 1, 2022' with the year struck through, while the signature is dated Dec. 8th 2022 — both retained. Figures are identical to this filer's Nov. 1 report.; one transcription applied to 3 index rows (identical bytes)"
Mark R. Hurd,County Council,2022,2022,,c_and_e_report,2861.35,2170.25,0,691.10,,,,,,,,0,0,raw/2022/2022_cc_Mark_R_Hurd_9ef384.pdf,cache_county|2e2b8fa1f5dc|raw/2022/2022_cc_Mark_R_Hurd_9ef384.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ⚠ The marked report-type box is 'Seven days preceding the PRIMARY Election' although the filing is dated Nov. 1, 2022 (a week before the GENERAL election) — a filer marking error, retained exactly as marked and not corrected. This-Period and Year-to-Date columns are equal here.; one transcription applied to 2 index rows (identical bytes)"
Mark R. Hurd,County Council,2022,2022,,c_and_e_report,2861.35,2170.25,0,691.10,,,,,,,,0,0,raw/2022/2022_wb_Mark_R_Hurd.pdf,cache_county|2e2b8fa1f5dc|raw/2022/2022_wb_Mark_R_Hurd.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ⚠ The marked report-type box is 'Seven days preceding the PRIMARY Election' although the filing is dated Nov. 1, 2022 (a week before the GENERAL election) — a filer marking error, retained exactly as marked and not corrected. This-Period and Year-to-Date columns are equal here.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Mark R. Hurd,County Council,2022,2022,Pre-General,c_and_e_report,2861.35,2170.25,0,691.10,,,,,,,,0,0,raw/2022/2022_wb_Mark_R_Hurd_22G.pdf,cache_county|4b13dc9072e7|raw/2022/2022_wb_Mark_R_Hurd_22G.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; This vintage of the form offers FIVE report-type boxes (adding the two primary-election ones). '30 Days after the General Election' is marked. The 'Date of Report' box reads 'Nov. 1, 2022' with the year struck through, while the signature is dated Dec. 8th 2022 — both retained. Figures are identical to this filer's Nov. 1 report.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 3 index rows (identical bytes)"
