ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
64 of 2022,2022-10-04,2022-10-04,"Adopt Ordinance 64 of 2022 approving the deferral of Emergency Loan Program loans to December 31, 2024, with legislative intents",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-10-04,10,within_source,Council,1,,minutes/2022/2022-10-03/2022-10-04_revised-council-formal-meeting.md,
65 of 2022,2022-10-04,2022-10-04,Adopt Ordinance 65 of 2022 regarding the Placement of Small Wireless Facilities in the Public Way,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-10-04,11,within_source,Council,1,,minutes/2022/2022-10-03/2022-10-04_revised-council-formal-meeting.md,
66 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 66 of 2022, amending various sections of Title 21A pertaining to shared housing.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-10-18,7,medium,Council,1,,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
67 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 67 of 2022, amending various sections of Title 21A pertaining to off-street parking, mobility, and loading zones.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_planning_adopted_zoning_amendments.html,yes,7-0 Pass,2022-10-18,8,high,Council,1,slc_planning_adopted_zoning_amendments.html,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
68 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 68 of 2022, amending various sections of Title 21A pertaining to RMF-30 Low Density Multi-family Residential District, and wait to publish the ordinance for 180 calendar days.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_planning_adopted_zoning_amendments.html,yes,6-1 Pass,2022-10-18,9,high,Council,1,slc_planning_adopted_zoning_amendments.html,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
69 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 69 of 2022, amending the zoning of a property at approximately 16 South 800 West from Transit Station Area District – Urban Neighborhood Station Transition (TSA-UN-T) to Transit Station Area District – Urban Neighborhood Station-Core (TSA-UN-C).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-10-18,10,medium,Council,1,,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
70 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 70 of 2022, for the Ballpark Station Area Plan as part of Salt Lake City's General Plan.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-10-18,11,medium,Council,1,,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
71 of 2022,2022-10-18,2022-10-18,"Adopt Ordinance 71 of 2022, amending the zoning map to portions of City-owned properties at 1850 West Indiana Avenue and 1965 West 500 South to rezone the parcels from PL (Public Lands) to FB-UN2 (Form Based Urban Neighborhood).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-1 Pass,2022-10-18,13,medium,Council,1,,minutes/2022/2022-10-17/2022-10-18_revised-council-formal-meeting.md,
72 of 2022,2022-11-10,2022-11-10,Adopt Ordinance 72 of 2022 Alley Vacation at approximately 925 South 1200 West.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2022-11-10,6,within_source,Council,1,,minutes/2022/2022-11-07/2022-11-10_revised-council-formal-meeting.md,
73 of 2022,2022-11-10,2022-11-10,Adopt Ordinance 73 of 2022 Stealth Towers Text Amendments.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,5-1 Pass,2022-11-10,7,within_source,Council,1,,minutes/2022/2022-11-07/2022-11-10_revised-council-formal-meeting.md,
74 of 2022,2022-12-13,2022-12-13,"Close the public hearing and adopt Ordinance 74 of 2022, amending the Fiscal Year 2023 final budget of Salt Lake City Library for funds to facilitate property acquisition ($1.3 Million from Library Fund Balance).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-12-13,3,within_source,Council,1,,minutes/2022/2022-12-12/2022-12-13_council-formal-meeting.md,
75 of 2022,2022-11-22,2022-11-22,"Adopt Ordinance 75 of 2022, amending the zoning of the property at approximately 856 West 1300 South from R-1/5,000 to FB-UN1 with a requirement that the petitioner enter a development agreement with specified conditions.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2022-11-22,3,within_source,Council,1,,minutes/2022/2022-11-21/2022-11-22_revised-council-formal-meeting.md,
76 of 2022,2022-11-22,2022-11-22,"Adopt Ordinance 76 of 2022, approving temporary zoning regulations authorizing a temporary increase in overnight capacity at the Youth Homeless Resource Center at 888 South 400 West.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-11-22,6,within_source,Council,1,,minutes/2022/2022-11-21/2022-11-22_revised-council-formal-meeting.md,
77 of 2022,2022-12-06,2022-12-06,Adopt Ordinance 77 of 2022 Establishing Limits for New Water Availability.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-12-06,4,within_source,Council,1,,minutes/2022/2022-12-05/2022-12-06_council-formal-meeting.md,
78 of 2022,2022-12-06,2022-12-06,Adopt Ordinance 78 of 2022 Economic Development Loan Fund – Club Verse at 609 South State Street.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-12-06,6,within_source,Council,1,,minutes/2022/2022-12-05/2022-12-06_council-formal-meeting.md,
79 of 2022,2022-12-13,2022-12-13,"Adopt Ordinance 79 of 2022, a rezone, master plan amendment and alley vacation at 1550 South Main Street with a requirement that the petitioner enter a development agreement with specified conditions, and close petition PLNPCM2022-00065 amending the Central Community Master Plan.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2022-12-13,4,within_source,Council,1,,minutes/2022/2022-12-12/2022-12-13_council-formal-meeting.md,
80 of 2022,2022-12-13,2022-12-13,"Adopt Ordinance 80 of 2022, Budget Amendment 4 FY2022-23, amending the final budget of Salt Lake City for items as shown on the motion sheet.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-12-13,5,within_source,Council,1,,minutes/2022/2022-12-12/2022-12-13_council-formal-meeting.md,
81 of 2022,2022-12-13,2022-12-13,"Adopt Ordinance 81 of 2022, amending the zoning of the property at 675 North F Street from FR-3-12,000 to SR-1 and amend the Avenues Community Master Plan future land use map, subject to applicant entering into a development agreement with specified conditions.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,4-2 Pass,2022-12-13,9,within_source,Council,1,,minutes/2022/2022-12-12/2022-12-13_council-formal-meeting.md,
1 of 2023,2023-01-03,2023-01-03,Adopt Ordinance 01 of 2023 amending the City Code pertaining to meetings of the Salt Lake City Council.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,5-0 Pass,2023-01-03,3,within_source,Council,1,,minutes/2023/2023-01-02/2023-01-03_council-formal-meeting.md,
2 of 2023,2023-01-17,2023-01-17,"Adopt Ordinance 02 of 2023 approving a $100,000 loan for Forty Three Bakery/Streusel, LLC, from Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2023-01-17,3,within_source,Council,1,,minutes/2023/2023-01-16/2023-01-17_council-formal-meeting.md,
3 of 2023,2023-02-21,2023-02-21,Adopt Ordinance 03 of 2023 Urban Forest Action Plan,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-02-21,4,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
4 of 2023,2023-04-04,2023-04-04,"Adopt Ordinance 04 of 2023, Zoning Map Amendment at approximately 130 N 2100 W, with a condition requiring a development agreement for sound attenuation in new or substantially remodeled structures.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2023-04-04,7,medium,Council,2,,minutes/2023/2023-04-03/2023-04-04_council-formal-meeting.md,
5 of 2023,2023-02-21,2023-02-21,Close the public hearing and adopt Ordinance 05 of 2023 Local Link Study Update to 2023 Sugar House Circulation Plan,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-02-21,8,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
6 of 2023,2025-02-18,2025-02-18,"Adopt Resolution 04 of 2025, extending the time period to comply with the conditions in Ordinance 06 of 2023 for an additional 6 months.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-1 Pass,2025-02-18,5,within_source,Council,3,,minutes/2025/2025-02-17/2025-02-18_council-formal-meeting.md,
7 of 2023,2023-02-21,2023-02-21,Adopt Ordinance 07 of 2023 Rocky Mountain Power Rezone,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-02-21,10,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
8 of 2023,2023-02-21,2023-02-21,"Approve and adopt items F1 Ordinance 08 of 2023 Public Accommodation Closed Captioning; F2 Resolution 03 of 2023 and Resolution 04 of 2023 Approving Amendments to UPACA Interlocal Agreements; F3 Ordinance 09 of 2023 Amending the Parks, Natural Lands, Trails, and Urban Forestry Advisory Board; and F4 Ordinance 10 of 2023 Amending the Salt Lake City Sister Cities Board",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-02-21,11,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
9 of 2023,2023-02-21,2023-02-21,"Approve and adopt items F1 Ordinance 08 of 2023 Public Accommodation Closed Captioning; F2 Resolution 03 of 2023 and Resolution 04 of 2023 Approving Amendments to UPACA Interlocal Agreements; F3 Ordinance 09 of 2023 Amending the Parks, Natural Lands, Trails, and Urban Forestry Advisory Board; and F4 Ordinance 10 of 2023 Amending the Salt Lake City Sister Cities Board",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-02-21,11,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
10 of 2023,2023-02-21,2023-02-21,"Approve and adopt items F1 Ordinance 08 of 2023 Public Accommodation Closed Captioning; F2 Resolution 03 of 2023 and Resolution 04 of 2023 Approving Amendments to UPACA Interlocal Agreements; F3 Ordinance 09 of 2023 Amending the Parks, Natural Lands, Trails, and Urban Forestry Advisory Board; and F4 Ordinance 10 of 2023 Amending the Salt Lake City Sister Cities Board",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-02-21,11,within_source,Council,1,,minutes/2023/2023-02-20/2023-02-21_council-formal-meeting.md,
11 of 2023,2023-03-07,2023-03-07,"Continue the public hearing and adopt Ordinance 11 of 2023, amending the Fiscal Year 2023 final budget of Salt Lake City including the employment staffing document only for item E-1: Treasure Emergency Rental Assistance Program Additional Resources – $2 Million for Salt Lake City tenant assistance through the Utah Rent Relief Program.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-03-07,2,within_source,Council,1,,minutes/2023/2023-03-06/2023-03-07_council-formal-meeting.md,
12 of 2023,2023-03-07,2023-03-07,"Adopt Ordinance 12 of 2023 approving American Rescue Plan Act local business assistance grant awards as shown in the Funding Log except for items 2, 5, 7, 17, 27, 35, 37, and 41.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-03-07,8,within_source,Council,1,,minutes/2023/2023-03-06/2023-03-07_council-formal-meeting.md,
13 of 2023,2023-03-21,2023-03-21,"Close the public hearing and adopt Ordinance 13 of 2023, Budget Amendment No. 5 of FY 2022-2023 including items A-1 through A-9, A-11, D-1, D-3 through D-7, Council Consent Agenda No. 5 (G-1, G-2), Section G Council Consent Agenda No. 6 (G-1), I-1, I-2, and I-3.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-03-21,7,within_source,Council,3,,minutes/2023/2023-03-20/2023-03-21_council-formal-meeting.md,
14 of 2023,2023-03-21,2023-03-21,"Adopt Ordinance 14 of 2023, Amending the Zoning Text Pertaining to the use of Landscape Materials.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),raw/slc_planning_adopted_zoning_amendments.html,yes,7-0 Pass,2023-03-21,10,high,Council,1,slc_planning_adopted_zoning_amendments.html,minutes/2023/2023-03-20/2023-03-21_council-formal-meeting.md,
